tGroup,round,epoch,target,outcome,probX,probY,probZ
1-2,0,0,2,2,0.38,0.44,0.47
1-2,0,1,2,2,0.39,0.42,0.55
1-2,0,2,0,0,0.55,0.48,0.55
1-2,0,3,1,2,0.38,0.33,0.52
1-2,0,4,2,2,0.36,0.40,0.51
1-2,0,5,1,0,0.47,0.44,0.47
1-2,0,6,0,1,0.31,0.46,0.46
1-2,0,7,2,0,0.54,0.44,0.38
1-2,0,8,0,2,0.32,0.39,0.47
1-2,0,9,2,2,0.43,0.36,0.50
1-2,0,10,2,2,0.32,0.29,0.54
1-2,0,11,1,2,0.43,0.35,0.48
1-2,0,12,2,0,0.45,0.38,0.43
1-2,0,13,2,2,0.25,0.29,0.59
1-2,0,14,2,2,0.39,0.33,0.51
1-2,0,15,2,2,0.22,0.26,0.66
1-2,0,16,2,2,0.35,0.29,0.58
1-2,0,17,2,2,0.21,0.23,0.72
1-2,0,18,2,2,0.20,0.22,0.74
1-2,0,19,2,2,0.31,0.25,0.65
1-2,0,20,2,2,0.16,0.21,0.70
1-2,0,21,1,2,0.25,0.26,0.68
1-2,0,22,2,2,0.15,0.23,0.67
1-2,0,23,2,2,0.27,0.26,0.67
1-2,0,24,2,2,0.15,0.20,0.77
1-2,0,25,2,2,0.16,0.19,0.79
1-2,0,26,0,2,0.26,0.26,0.74
1-2,0,27,2,2,0.20,0.21,0.77
1-2,0,28,2,2,0.20,0.20,0.78
1-2,0,29,1,2,0.15,0.17,0.73
1-2,0,30,1,2,0.23,0.26,0.64
1-2,0,31,0,2,0.15,0.27,0.64
1-2,0,32,2,2,0.28,0.26,0.57
1-2,0,33,0,2,0.16,0.24,0.62
1-2,0,34,2,2,0.29,0.23,0.56
1-2,0,35,2,2,0.28,0.22,0.60
1-2,0,36,2,2,0.15,0.19,0.64
1-2,0,37,2,2,0.15,0.17,0.74
1-2,0,38,2,2,0.18,0.19,0.76
1-2,0,39,2,2,0.14,0.18,0.69
1-2,0,40,2,2,0.24,0.19,0.70
1-2,0,41,1,2,0.21,0.21,0.69
1-2,0,42,2,2,0.13,0.19,0.69
1-2,0,43,0,2,0.13,0.21,0.70
1-2,0,44,1,2,0.22,0.24,0.62
1-2,0,45,0,2,0.14,0.23,0.61
1-2,0,46,2,2,0.19,0.21,0.67
1-2,0,47,2,2,0.16,0.17,0.70
1-2,0,48,1,2,0.15,0.18,0.62
1-2,0,49,2,2,0.14,0.19,0.67
1-2,0,50,1,2,0.22,0.27,0.54
1-2,0,51,1,2,0.21,0.32,0.49
1-2,0,52,2,2,0.13,0.25,0.61
1-2,0,53,2,2,0.13,0.23,0.64
1-2,0,54,2,2,0.22,0.28,0.56
1-2,0,55,2,2,0.21,0.26,0.59
1-2,0,56,2,2,0.14,0.23,0.73
1-2,0,57,2,2,0.14,0.22,0.74
1-2,0,58,2,2,0.20,0.23,0.66
1-2,0,59,2,2,0.11,0.18,0.77
1-2,0,60,0,2,0.11,0.22,0.68
1-2,0,61,2,2,0.12,0.17,0.74
1-2,0,62,2,2,0.14,0.18,0.76
1-2,0,63,2,2,0.11,0.16,0.77
1-2,0,64,2,2,0.12,0.15,0.79
1-2,0,65,1,2,0.18,0.24,0.64
1-2,0,66,2,2,0.11,0.20,0.65
1-2,0,67,2,2,0.19,0.21,0.68
1-2,0,68,2,2,0.18,0.20,0.70
1-2,0,69,0,2,0.11,0.20,0.70
1-2,0,70,2,2,0.19,0.19,0.68
