tGroup,round,epoch,layer,neuron,type,weight,value
1-2,0,700,0,0,N,0,-0.025381578167537534
1-2,0,700,0,0,N,1,0.4757801633891494
1-2,0,700,0,0,N,2,-0.17508039227403907
1-2,0,700,0,0,N,3,0.0945583346307487
1-2,0,700,0,0,N,4,0.8415458757920561
1-2,0,700,0,0,N,5,-0.5238498049662452
1-2,0,700,0,0,N,6,-0.4076823192932093
1-2,0,700,0,0,N,7,0.2720927804760232
1-2,0,700,0,0,N,8,-0.27480983689935123
1-2,0,700,0,0,N,9,0.6310414640995569
1-2,0,700,0,0,N,10,-0.11098149143542949
1-2,0,700,0,0,N,11,0.08204979919371441
1-2,0,700,0,0,N,12,0.04647416454426453
1-2,0,700,0,0,N,13,-0.7985752391572939
1-2,0,700,0,0,N,14,0.6229586416064758
1-2,0,700,0,0,N,15,-0.07470609752085469
1-2,0,700,0,0,N,16,-0.3258551803053223
1-2,0,700,0,0,N,17,-0.24219915101380893
1-2,0,700,0,0,N,18,-0.29885946169210204
1-2,0,700,0,0,N,19,-0.7052211199237877
1-2,0,700,0,0,N,20,-0.280858163981362
1-2,0,700,0,0,N,21,-0.08921273854099956
1-2,0,700,0,0,N,22,0.13045401285285868
1-2,0,700,0,0,N,23,-0.5730448367186808
1-2,0,700,0,0,N,24,-0.5319014544446287
1-2,0,700,0,0,N,25,-0.6287756742842516
1-2,0,700,0,0,N,26,-0.8155539583627343
1-2,0,700,0,0,N,27,0.18828069516005666
1-2,0,700,0,0,N,28,0.0452801716163958
1-2,0,700,0,0,N,29,0.661268558856921
1-2,0,700,0,0,N,30,0.18943364608651414
1-2,0,700,0,0,N,31,0.19553884829722246
1-2,0,700,0,0,N,32,-0.43583933668320674
1-2,0,700,0,0,N,33,0.15663317199466686
1-2,0,700,0,0,N,34,-0.6186812774669382
1-2,0,700,0,0,N,35,0.9204791102586447
1-2,0,700,0,0,N,36,0.24344771282697128
1-2,0,700,0,0,N,37,-0.2731537240973202
1-2,0,700,0,0,N,38,-0.3446315636900102
1-2,0,700,0,0,N,39,-0.12477466221342481
1-2,0,700,0,0,N,40,0.04738745386706199
1-2,0,700,0,0,N,41,0.39565340998339454
1-2,0,700,0,0,N,42,0.09014216226891192
1-2,0,700,0,0,N,43,0.12993795153032422
1-2,0,700,0,0,N,44,-0.02071229196958909
1-2,0,700,0,0,N,45,0.12935024498849643
1-2,0,700,0,0,N,46,0.8938987629477452
1-2,0,700,0,0,N,47,0.15409243355773222
1-2,0,700,0,0,N,48,0.17369773046134587
1-2,0,700,0,0,N,49,0.21921669441656752
1-2,0,700,0,0,N,50,0.12991581760211796
1-2,0,700,0,0,N,51,0.20413747304268062
1-2,0,700,0,0,N,52,0.04156357687208133
1-2,0,700,0,0,N,53,-0.7794842619640282
1-2,0,700,0,0,N,54,0.18312172698307375
1-2,0,700,0,0,N,55,-0.04100113940170779
1-2,0,700,0,1,N,0,0.10804914132477884
1-2,0,700,0,1,N,1,-0.6547386523503143
1-2,0,700,0,1,N,2,0.5422891502775888
1-2,0,700,0,1,N,3,0.11166388108872786
1-2,0,700,0,1,N,4,-0.4997586647294504
1-2,0,700,0,1,N,5,-0.43231266818408404
1-2,0,700,0,1,N,6,0.0438690903666193
1-2,0,700,0,1,N,7,0.09779113187729273
1-2,0,700,0,1,N,8,-0.35177146935088704
1-2,0,700,0,1,N,9,-0.37867478895179135
1-2,0,700,0,1,N,10,-0.4613480728050114
1-2,0,700,0,1,N,11,0.23266497763968885
1-2,0,700,0,1,N,12,0.6801463172567795
1-2,0,700,0,1,N,13,0.9658620943189218
1-2,0,700,0,1,N,14,-0.02623999875588915
1-2,0,700,0,1,N,15,0.3721266378377907
